stock_id,brand,model,model_family,cpu_socket,max_sockets,ram_type,drive_form_factors,condition_new,condition_refurbished,datasheet,source,is_server,needs_review,note
4716,HPE,HPE DL380 GEN9 8SFF,HPE DL380 GEN9,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,HPE Gen9 (E5 v3/v4)
4717,DELL,DELL POWEREDGE R720 16SFF,DELL R720,LGA2011,2,DDR3,"2.5"" SFF",no,no,DELL\Dell-PowerEdge-R720-DATA SHEET.pdf,derived,yes,no,Dell 12G (E5 v1/v2)
4718,DELL,DELL POWEREDGE R350 4LFF,DELL R350,LGA1151,1,DDR4,"3.5"" LFF",no,no,DELL\dell-emc-poweredge-r350-DATA SHEET.pdf,derived,yes,no,Dell entry tower (Xeon E)
4719,HPE,DL385 GEN10 PLUS,DL385 GEN10 PLUS,SP3,2,DDR4,,no,no,HPE\hpe-dl385-gen10-plus-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4720,HPE,DL385 GEN10 PLUS V2,DL385 GEN10 PLUS V2,SP3,2,DDR4,,no,no,HPE\hpe-dl385-gen10-plus-v2-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4721,HPE,ProLiant DL360 Gen10,DL360 GEN10,LGA3647,2,DDR4,,no,no,HPE\hpe-dl360-gen10-datasheet.pdf,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4722,HPE,DL385 GEN11,DL385 GEN11,SP5,2,DDR5,,no,no,none,derived,yes,no,HPE EPYC Gen11
4723,DELL,DELL POWEREDGE R840,DELL R840,LGA3647,4,DDR4,,no,no,DELL\DELL poweredge-r840-DATA SHEET.pdf,derived,yes,no,Dell 14G 4-socket (Skylake/Cascade)
4724,DELL,DELL POWEREDGE R750 XS LFF,DELL R750 XS LFF,LGA4189,2,DDR4,"3.5"" LFF",no,no,DELL\DELL poweredge r750xs-data sheet.pdf,derived,yes,no,Dell 15G (Ice Lake)
4725,GIGABYTE,GIGABYTE G292-Z20,GIGABYTE G292 Z20,SP3,2,DDR4,,no,no,GIGABYTE\GIGABYTE_G292-Z20_datasheet.pdf,derived,yes,no,Gigabyte EPYC Rome/Milan
4726,INSPUR,INSPUR SA5212M5,INSPUR SA5212M5,LGA3647,2,DDR4,,no,no,none,derived,yes,no,Inspur M5 (Skylake/Cascade)
4727,HPE,HPE DL380 GEN10 PLUS 12SFF,HPE DL380 GEN10 PLUS,LGA4189,2,DDR4,"2.5"" SFF",no,no,HPE\hpe-dl380-gen10-plus-datasheet.pdf,derived,yes,no,HPE Intel Gen10 Plus (Ice Lake)
4728,HPE,HPE DL320E GEN8 V2,HPE DL320E GEN8 V2,LGA2011,2,DDR3,,no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4729,DELL,DELL POWEREDGE E10S,DELL E10S,,1,,,no,no,none,manual,no,yes,Dell Edge/embedded - verify
4730,DELL,DELL POWEREDGE E33S,DELL E33S,,1,,,no,no,none,manual,no,yes,Dell Edge/embedded - verify
4731,GIGABYTE,HYVE EDGE METAL G10,HYVE EDGE METAL G10,,2,,,no,no,none,manual,no,yes,Gigabyte Hyve Edge - verify
